timestamp,engine_temp,hydraulic_pressure,vibration,defect_detected
0,0.1956546467978612,0.930242430272278,0.1638570465273095,normal
1,0.1835968604254345,0.9569329751600172,0.1233985165205664,normal
2,0.2147651006711406,0.9497496103206976,0.0842886041807147,normal
3,0.3215788874985774,0.9845521175339104,0.0944032366824005,normal
4,0.1940052326242747,0.9539548303651376,0.1132838840188806,normal
5,0.3182800591514048,0.947103107485159,0.0701281186783547,normal
6,0.1181321806392898,0.9278612410042116,0.0937289278489548,normal
7,0.2908656580593787,0.9641229728385234,0.1469993256911665,normal
8,0.1759754294164488,0.9487347859251154,0.1126095751854349,normal
9,0.0936753497895575,0.9435147414850928,0.0822656776803776,normal
10,0.2012285291775675,0.955128842901204,0.1780175320296696,normal
11,0.2781253554771923,0.971445627300766,0.1308159136884693,normal
12,0.1927539529063811,0.9801545451530528,0.074173971679029,normal
13,0.1748379024001818,0.950565449540676,0.1024949426837491,normal
14,0.2548629279945391,0.9578217756110504,0.1375590020229265,normal
15,0.2033329541576609,0.9710808211454912,0.0997977073499662,normal
16,0.2561710840632458,0.9390044108380592,0.0734996628455832,normal
17,0.1582868843135023,0.9466587072596424,0.1355360755225893,normal
18,0.2427482652712997,0.9494113355221704,0.1247471341874578,normal
19,0.1894551245592075,0.9443703777401916,0.1058664868509777,normal
20,0.1915026731884879,0.9582728086757536,0.1193526635198921,normal
21,0.198612217040154,0.9399330083242132,0.0424814565070802,normal
22,0.1398589466499826,0.9365038304646304,0.0667565745111261,normal
23,0.1602775565919687,0.939515139455444,0.1301416048550236,normal
24,0.1767716983278351,0.9765263821178656,0.1402562373567094,normal
25,0.1423046297349559,0.9555732431267204,0.1463250168577208,normal
26,0.0801387782959843,0.9462673697476204,0.0283209710047201,normal
27,0.1755204186099419,0.9501475806719069,0.1200269723533378,normal
28,0.1598225457854623,0.9507113720027858,0.1200269723533378,normal
29,0.0429416448640651,0.9750870560143272,0.1045178691840863,normal
30,0.1760891821180754,0.9481577289158624,0.1240728253540121,normal
31,0.2056080081901941,0.9718170662952276,0.1854349291975725,normal
32,0.2363212376293932,0.9438861804795544,0.0761968981793661,normal
33,0.1382095324763956,0.94685105959606,0.0944032366824005,normal
34,0.1925264475031278,0.956621231718237,0.0802427511800404,normal
35,0.2418951200090999,0.9780320366132726,0.1065407956844234,normal
36,0.1550449323171423,0.9352568566975092,0.0890087660148348,normal
37,0.1386076669320894,0.9251749411335524,0.1072151045178692,normal
38,0.1845068820384483,0.9609458428680396,0.0667565745111261,normal
39,0.1064725287225569,0.979511159751932,0.1112609575185435,normal
40,0.22210214992606,0.9535767585314894,0.0734996628455832,normal
41,0.1615857126606754,0.946002056180148,0.1227242076871207,normal
42,0.1644864065521551,0.9433820847013564,0.1078894133513149,normal
43,0.1230804231600495,0.974901336517096,0.1301416048550236,normal
44,0.2556591969059263,0.9452591781912248,0.0957518543492919,normal
45,0.2509953361392329,0.9425662454813784,0.1031692515171948,normal
46,0.2195995904902741,0.9621795509567872,0.1254214430209035,normal
47,0.2040723467182341,0.9302225317547176,0.1355360755225893,normal
48,0.2009441474235012,0.9617683149272048,0.1517194875252865,normal
49,0.2405300875895797,0.9368553709415316,0.0829399865138233,normal
50,0.1576612444545557,0.93348588863463,0.205664194200944,normal
51,0.2587305198498462,0.9664113023579746,0.1105866486850977,normal
52,0.0964622909794106,0.94878784863861,0.0782198246797033,normal
53,0.2111818905699007,0.9584651610121712,0.0768712070128118,normal
54,0.2277329086565802,0.9864491095413396,0.1132838840188806,normal
55,0.3328972813104305,0.9336384439359268,0.1180040458530006,normal
56,0.2173245364577409,0.9778065200809208,0.1031692515171948,normal
57,0.2325105221249002,0.9455377574370708,0.0478759271746459,normal
58,0.2094187236946876,0.9614167744503036,0.131490222521915,normal
59,0.183653736776248,0.9391702318177296,0.1159811193526635,normal
60,0.3018427937663519,0.935840546545949,0.1294672960215779,normal
61,0.2637925150722324,0.9318077803203662,0.1348617666891436,normal
62,0.2239221931520871,0.9725267800882168,0.1065407956844234,normal
63,0.1101126151746103,0.9416509136735978,0.0505731625084288,normal
64,0.2765896940052323,0.9378967266938614,0.0869858395144976,normal
65,0.2744283926743258,0.957795244254303,0.1813890761968982,normal
66,0.0288363098623594,0.9761483102842172,0.1031692515171948,normal
67,0.1409964736662492,0.9356548270487182,0.0546190155091031,normal
68,0.2561142077124327,0.9721420754153818,0.200944032366824,normal
69,0.1550449323171423,0.971346134712964,0.1402562373567094,normal
70,0.2887612330792852,0.968447583988326,0.1180040458530006,normal
71,0.1066431577749971,0.9659005737405896,0.1476736345246123,normal
72,0.2046979865771812,0.9734951746094916,0.0660822656776803,normal
