timestamp,engine_temp,hydraulic_pressure,vibration,defect_detected,engine_temp_roll,vibration_roll,hydraulic_pressure_roll,predicted_fault_risk,risk_transition,maintenance_recommendation
0,0.1956546467978612,0.930242430272278,0.1638570465273095,normal,0.1956546467978612,0.1638570465273095,0.930242430272278,no_immediate_risk,True,No immediate maintenance required
1,0.1835968604254345,0.9569329751600172,0.1233985165205664,normal,0.1896257536116478,0.1436277815239379,0.9435877027161476,no_immediate_risk,False,No immediate maintenance required
2,0.2147651006711406,0.9497496103206976,0.0842886041807147,normal,0.1980055359648121,0.1238480557428635,0.9456416719176642,no_immediate_risk,False,No immediate maintenance required
3,0.3215788874985774,0.9845521175339104,0.0944032366824005,normal,0.2288988738482534,0.1164868509777477,0.9553692833217258,no_immediate_risk,False,No immediate maintenance required
4,0.1940052326242747,0.9539548303651376,0.1132838840188806,normal,0.2219201456034576,0.1158462575859743,0.9550863927304082,no_immediate_risk,False,No immediate maintenance required
5,0.3182800591514048,0.947103107485159,0.0701281186783547,normal,0.2379801311947822,0.1082265677680377,0.9537558451895332,no_immediate_risk,False,No immediate maintenance required
6,0.1181321806392898,0.9278612410042116,0.0937289278489548,normal,0.2208589954011404,0.1061554763510258,0.9500566160202016,no_immediate_risk,False,No immediate maintenance required
7,0.2908656580593787,0.9641229728385234,0.1469993256911665,normal,0.2296098282334202,0.1112609575185434,0.951814910622492,no_immediate_risk,False,No immediate maintenance required
8,0.1759754294164488,0.9487347859251154,0.1126095751854349,normal,0.22365045058709,0.1114108039259758,0.9514726745450056,no_immediate_risk,False,No immediate maintenance required
9,0.0936753497895575,0.9435147414850928,0.0822656776803776,normal,0.2106529405073368,0.108496291301416,0.9506768812390144,no_immediate_risk,False,No immediate maintenance required
10,0.2012285291775675,0.955128842901204,0.1780175320296696,normal,0.2112103287453074,0.109912339851652,0.9531655225019068,no_immediate_risk,False,No immediate maintenance required
11,0.2781253554771923,0.971445627300766,0.1308159136884693,normal,0.2206631782504831,0.1106540795684423,0.954616787715982,no_immediate_risk,False,No immediate maintenance required
12,0.1927539529063811,0.9801545451530528,0.074173971679029,normal,0.2184620634740072,0.1096426163182737,0.9576572811992172,no_immediate_risk,False,No immediate maintenance required
13,0.1748379024001818,0.950565449540676,0.1024949426837491,normal,0.2037879649641677,0.1104517869184086,0.954258614399894,no_immediate_risk,False,No immediate maintenance required
14,0.2548629279945391,0.9578217756110504,0.1375590020229265,normal,0.2098737345011941,0.1128792987188131,0.9546453089244852,no_immediate_risk,False,No immediate maintenance required
15,0.2033329541576609,0.9710808211454912,0.0997977073499662,normal,0.1983790240018197,0.1158462575859743,0.9570430802905184,no_immediate_risk,False,No immediate maintenance required
