timestamp,engine_temp,hydraulic_pressure,vibration,defect_detected,engine_temp_roll,vibration_roll,hydraulic_pressure_roll,predicted_fault_risk,risk_transition
0,0.1956546467978612,0.930242430272278,0.1638570465273095,normal,0.1956546467978612,0.1638570465273095,0.930242430272278,no_immediate_risk,True
1,0.1835968604254345,0.9569329751600172,0.1233985165205664,normal,0.18962575361164785,0.14362778152393796,0.9435877027161477,no_immediate_risk,False
2,0.2147651006711406,0.9497496103206976,0.0842886041807147,normal,0.1980055359648121,0.12384805574286355,0.9456416719176642,no_immediate_risk,False
3,0.3215788874985774,0.9845521175339104,0.0944032366824005,normal,0.22889887384825341,0.11648685097774777,0.9553692833217258,no_immediate_risk,False
4,0.1940052326242747,0.9539548303651376,0.1132838840188806,normal,0.22192014560345769,0.11584625758597433,0.9550863927304082,no_immediate_risk,False
5,0.3182800591514048,0.947103107485159,0.0701281186783547,normal,0.2379801311947822,0.10822656776803774,0.9537558451895333,no_immediate_risk,False
6,0.1181321806392898,0.9278612410042116,0.0937289278489548,normal,0.22085899540114043,0.10615547635102589,0.9500566160202016,no_immediate_risk,False
7,0.2908656580593787,0.9641229728385234,0.1469993256911665,normal,0.22960982823342022,0.11126095751854347,0.9518149106224919,no_immediate_risk,False
8,0.1759754294164488,0.9487347859251154,0.1126095751854349,normal,0.22365045058709004,0.11141080392597585,0.9514726745450055,no_immediate_risk,False
9,0.0936753497895575,0.9435147414850928,0.0822656776803776,normal,0.2106529405073368,0.10849629130141603,0.9506768812390144,no_immediate_risk,False
10,0.2012285291775675,0.955128842901204,0.1780175320296696,normal,0.2112103287453074,0.10991233985165202,0.9531655225019069,no_immediate_risk,False
11,0.2781253554771923,0.971445627300766,0.1308159136884693,normal,0.22066317825048318,0.11065407956844231,0.9546167877159819,no_immediate_risk,False
12,0.1927539529063811,0.9801545451530528,0.074173971679029,normal,0.21846206347400726,0.10964261631827374,0.9576572811992173,no_immediate_risk,False
13,0.1748379024001818,0.950565449540676,0.1024949426837491,normal,0.2037879649641677,0.11045178691840862,0.9542586143998939,no_immediate_risk,False
14,0.2548629279945391,0.9578217756110504,0.1375590020229265,normal,0.20987373450119415,0.11287929871881319,0.9546453089244851,no_immediate_risk,False
15,0.2033329541576609,0.9710808211454912,0.0997977073499662,normal,0.19837902400181975,0.11584625758597436,0.9570430802905184,no_immediate_risk,False
16,0.2561710840632458,0.9390044108380592,0.0734996628455832,normal,0.21218291434421532,0.1138233310856372,0.9581573972739031,no_immediate_risk,False
17,0.1582868843135023,0.9466587072596424,0.1355360755225893,normal,0.19892503696962768,0.11267700606877946,0.9564109707160151,no_immediate_risk,False
18,0.2427482652712997,0.9494113355221704,0.1247471341874578,normal,0.2056023205551128,0.11389076196898176,0.9564786256757205,no_immediate_risk,False
19,0.1894551245592075,0.9443703777401916,0.1058664868509777,normal,0.21518029803207778,0.11625084288604177,0.9565641893012303,no_immediate_risk,False
20,0.1915026731884879,0.9582728086757536,0.1193526635198921,normal,0.21420771243316983,0.11038435603506402,0.9568785858786854,no_immediate_risk,False
21,0.198612217040154,0.9399330083242132,0.0424814565070802,normal,0.206256398589466,0.10155091031692512,0.95372732398103,no_immediate_risk,False
22,0.1398589466499826,0.9365038304646304,0.0667565745111261,normal,0.20096689796382616,0.1008091706001348,0.9493622525121879,no_immediate_risk,False
